Cip,Nume/Prenume,"Club, Oras",Categoria
1,POPESCU Bogdan,Voulvoul,Masculin 30-39
2,DAN Lucian,Sunn Factory Racing,Masculin 19-29
3,AVASILICHIOAIEI Ioana,Voulvoul,Feminin 19+
4,POP Nelu,SantaCruz Syndicate,Masculin 40+
5,MIRICEL Ion,YT Mob,Masculin 15-18
6,MARES George,YT Mob,Hobby
7,TOROZAN Maria,Intense Factory Racing,Feminin 15-18
8,MINCULESCU Ana,SantaCruz Syndicate,Feminin 19+
9,TELEGARIU Relu,Canyon Factory Racing,Masculin 30-39
10,ILIE Alex,Intense Factory Racing,Masculin 19-29
11,SERBANECI Horea,Sunn Factory Racing,Masculin 40+
12,SCURTU Vasilica,SantaCruz Syndicate,Masculin 15-18
13,NATARAS Mara,Voulvoul,Feminin 15-18
14,POP Alexandra,YT Mob,Hobby
15,BRATFALEAN Daniel,5010,Masculin 15-18
16,SAS Claudiu,5010,Masculin 30-39
